T,tsne-2d-one,tsne-2d-two
0.1,116.125145,3.1620994
0.1,-69.296074,-127.368484
0.1,118.126495,-22.341412
0.1,117.2179,-46.666634
0.1,103.027405,-14.545042
0.1,107.20138,-24.848621
0.1,28.143053,35.85179
0.1,-54.778965,-102.57903
0.1,-118.2676,-61.839516
0.1,125.81903,-29.30663
0.1,-81.25594,-88.06879
0.1,26.38717,32.316864
0.1,103.258194,-20.65876
0.1,-101.154465,-64.576805
0.1,-126.93743,-28.419725
0.1,120.10973,-30.85093
0.1,93.85634,36.66089
0.1,52.810616,35.794334
0.1,-174.88712,-13.674518
0.1,20.126394,30.585344
0.1,107.759926,-43.523705
0.1,-171.68713,-47.207558
0.1,-134.8641,-61.193356
0.1,100.50499,-25.156609
0.1,110.27069,-22.900297
0.1,-117.458435,-121.72555
0.1,159.83324,-7.1624475
0.1,61.021755,75.58985
0.1,-155.1853,2.52254
0.1,119.06721,-5.4582133
0.1,-121.63231,63.36047
0.1,-70.301605,-139.38594
0.1,-117.06424,-100.1907
0.1,-117.16266,-103.1962
0.1,163.82407,-22.552883
0.1,61.94495,10.187482
0.1,110.29019,-38.883347
0.1,16.067478,59.402283
0.1,115.04726,-33.776073
0.1,119.004135,-24.468096
0.1,-136.3149,-70.73247
0.1,109.191986,-33.98755
0.1,133.28105,-29.996553
0.1,96.13214,13.734194
0.1,-124.06462,31.599154
0.1,-118.3691,-47.515438
0.1,-158.61508,5.5875125
0.1,109.01798,-4.0458794
0.1,27.15715,47.838947
0.1,144.07391,-41.337116
0.1,-110.657036,33.957977
0.1,113.08424,-27.525122
0.1,134.8043,-28.06277
0.1,125.01061,-0.2489762
0.1,-110.17436,-96.7289
0.1,56.177185,55.306248
0.1,-64.31311,-136.88681
0.1,-175.89516,39.58157
0.1,56.177185,55.306248
0.1,48.28467,46.76211
0.1,120.69442,-50.90774
0.1,-80.2005,-110.61572
0.1,98.932686,-13.947536
0.1,107.20138,-24.848621
0.1,46.222767,68.99477
0.1,-117.71042,18.05633
0.1,54.397976,61.021847
0.1,-154.39084,2.3765705
0.1,116.164246,-9.475961
0.1,125.12523,-23.277082
0.1,100.50499,-25.156609
0.1,136.5032,-14.514838
0.1,52.003826,66.97721
0.1,-111.88506,-42.419273
0.1,51.3053,73.22863
0.1,43.399048,42.632748
0.1,125.01061,-0.2489762
0.1,141.55795,-44.883034
0.1,64.47411,41.046104
0.1,99.34042,-8.634043
0.1,-112.99945,46.83023
0.1,108.471504,1.147502
0.1,58.899338,66.07296
0.1,-135.69534,76.72137
0.1,58.899338,66.07296
0.1,114.746155,-21.189346
0.1,99.34042,-8.634043
0.1,113.08424,-27.525122
0.1,-151.9514,-35.634384
0.1,78.63247,50.807453
0.1,134.2486,-4.605314
0.1,48.28467,46.76211
0.1,57.90592,40.23629
0.1,37.656776,50.39767
0.1,28.188564,71.426155
0.1,150.58876,-19.776085
0.1,120.21604,-48.465313
0.1,47.060497,18.452034
0.1,-113.517555,-6.7053967
0.1,25.446413,13.758768
0.1,-187.27661,-39.573895
0.1,-79.407394,-150.04729
0.1,93.543564,46.989056
0.1,85.81381,46.8548
0.1,73.611496,41.02914
0.1,131.13167,-20.887724
0.1,-136.31506,-70.732445
0.1,68.663315,45.455498
0.1,-70.38848,-93.66566
0.1,-90.224594,-98.50446
0.1,-181.6195,-35.36955
0.1,110.23733,-10.094097
0.1,86.442215,-60.63225
0.1,108.904945,-18.836533
0.1,32.740387,34.236504
0.1,120.10973,-30.85093
0.1,133.00414,-1.3221647
0.1,12.6446705,52.31444
0.1,65.7355,103.588806
0.1,48.28467,46.76211
0.1,44.347775,57.282097
0.1,2.2516537,48.408348
0.1,131.25742,-12.477759
0.1,44.347775,57.282097
0.1,127.152016,-49.921505
0.1,81.91427,55.537823
0.1,104.88899,-9.833918
0.1,125.51173,-16.463984
0.1,113.975,-15.037777
0.1,113.975,-15.037777
0.1,-113.75059,-15.728605
0.1,99.832695,-0.19560125
0.1,46.67328,19.542593
0.1,-113.89046,33.293133
0.1,110.23733,-10.094097
0.1,49.774265,28.763515
0.1,120.10973,-30.85093
0.1,123.4496,2.995158
0.1,67.59121,57.289776
0.1,52.003826,66.97721
0.1,115.04726,-33.776073
0.1,131.13167,-20.887724
0.1,52.109913,51.53624
0.1,-81.255516,-88.06702
0.1,55.616768,96.0347
0.1,47.09671,52.343132
0.1,-140.25594,70.031746
0.1,104.40307,-29.96373
0.1,115.04726,-33.776073
0.1,-146.30649,72.05897
0.1,-104.00156,-69.692894
0.1,64.47411,41.046104
0.1,48.28467,46.76211
0.1,-170.06381,-0.8558769
0.1,44.920963,84.10706
0.1,100.50499,-25.156609
0.1,50.126324,53.842693
0.1,119.54615,-13.192557
0.1,-80.20088,-110.61563
0.1,47.09671,52.343132
0.1,136.18497,4.0798435
0.1,-112.74585,23.194187
0.1,-106.40298,-47.538483
0.1,131.25076,-26.930218
0.1,157.08667,-13.017772
0.1,89.69511,-14.333196
0.1,64.69377,62.852013
0.1,54.530167,45.907036
0.1,-118.5245,-38.66232
0.1,57.90592,40.23629
0.1,112.703354,2.3835645
0.1,-169.39511,40.658985
0.1,48.28467,46.76211
0.1,-88.40618,-126.863815
0.1,125.12523,-23.277082
0.1,-174.88516,-13.674786
0.1,-174.88559,-13.674801
0.1,113.975,-15.037777
0.1,118.87873,-68.72822
0.1,62.166023,54.18276
0.1,9.47762,46.828506
0.1,108.904945,-18.836533
0.1,109.01798,-4.0458794
0.1,125.12523,-23.277082
0.1,-158.94957,-61.968246
0.1,156.66235,-22.104841
0.1,67.59121,57.289776
0.1,44.042313,30.269962
0.1,140.9677,-47.83247
0.1,106.88156,-72.32486
0.1,40.905727,85.96976
0.1,110.50037,-68.8221
0.1,121.94178,-64.01511
0.1,-113.51716,-6.7059402
0.1,168.2657,-10.788992
0.1,112.703354,2.3835645
0.1,119.648506,-19.150698
0.1,-166.10634,4.4982347
0.1,119.648506,-19.150698
0.1,-127.08887,38.30261
0.1,-120.32136,11.381579
0.1,69.26609,34.93559
0.1,118.90627,9.857671
0.1,104.40307,-29.96373
0.1,-134.89204,35.316544
0.1,120.94177,-44.242535
0.1,-101.082726,-12.037903
0.1,-72.879654,-122.10948
0.1,52.109913,51.53624
0.1,113.67288,-5.471677
0.1,125.51173,-16.463984
0.1,78.315125,68.38973
0.1,-112.74614,23.193829
0.1,48.414806,61.99934
0.1,61.642845,47.011612
0.1,-107.72774,22.20266
0.1,-121.25591,-96.9195
0.1,39.54822,69.62938
0.1,70.18117,69.22917
0.1,71.98362,49.392456
0.1,121.01487,-1.6410762
0.1,-107.48661,-2.2658918
0.1,-118.267075,-61.839485
0.1,67.59121,57.289776
0.1,-81.76093,-80.07479
0.1,114.40752,-47.136135
0.1,107.91565,-50.597626
0.1,-187.1061,-27.677097
0.1,-138.06204,31.694408
0.1,38.184772,58.92615
0.1,113.975,-15.037777
0.1,110.23733,-10.094097
0.1,-151.95311,-35.635635
0.1,26.147112,42.981922
0.1,-106.402664,-47.539124
0.1,-150.66055,63.599957
0.1,-184.48932,19.041306
0.1,95.6759,-5.0441422
0.1,88.456215,-8.308221
0.1,52.109913,51.53624
0.1,25.815466,27.54981
0.1,-187.9936,-50.19951
0.1,136.66153,-20.136549
0.1,82.89164,-29.111307
0.1,81.61598,49.79605
0.1,74.246056,45.833344
0.1,125.81903,-29.30663
0.1,113.975,-15.037777
0.1,89.52839,-21.211367
0.1,72.20971,53.577984
0.1,44.347775,57.282097
0.1,-198.21184,-3.6220913
0.1,4.307159,46.764854
0.1,-64.75994,-101.22946
0.1,-97.95192,-105.24799
0.1,125.51173,-16.463984
0.1,-107.60074,6.4737926
0.1,-177.33719,-4.2505856
0.1,109.01798,-4.0458794
0.1,149.11514,-13.876743
0.1,121.002014,21.34773
0.1,54.530167,45.907036
0.1,64.47411,41.046104
0.1,66.64333,36.889477
0.1,-110.50619,-67.40533
0.1,123.40828,-9.284924
0.1,40.956516,73.706985
0.1,-57.79689,-105.28892
0.1,58.899338,66.07296
0.1,-124.06461,31.599194
0.1,57.90592,40.23629
0.1,-125.182785,-64.69946
0.1,-134.75989,-9.252931
0.1,45.039555,85.493065
0.1,-158.00992,63.66441
0.1,-192.74129,-31.784136
0.1,50.361816,56.262375
0.1,125.51173,-16.463984
0.1,82.493256,59.540993
0.1,114.746155,-21.189346
0.1,39.568558,53.80316
0.1,91.16942,6.60446
0.1,145.74121,-17.903555
0.1,48.28467,46.76211
0.1,-123.16327,75.03155
0.1,109.01798,-4.0458794
0.1,-170.06377,-0.8560377
0.1,144.46864,10.428966
0.1,-99.5864,-87.55157
0.1,-108.83971,1.7824061
0.1,29.972723,23.511488
0.1,119.54615,-13.192557
0.1,114.746155,-21.189346
0.1,117.34759,-39.328552
0.1,24.698694,20.703768
0.1,120.10973,-30.85093
0.1,126.67733,-34.978016
0.1,49.62012,40.8432
0.1,119.70174,2.4457712
0.1,67.62521,75.08938
0.1,65.43371,37.450222
0.1,-84.865944,-108.56244
0.1,52.810616,35.794334
0.1,-107.95857,-18.405922
0.1,-94.42145,-58.22933
0.1,-139.00322,-24.970873
0.1,56.177185,55.306248
0.1,54.397976,61.021847
0.1,45.35377,13.773926
0.1,117.34759,-39.328552
0.1,37.122826,45.546787
0.1,87.86474,-4.372633
0.1,49.62012,40.8432
0.1,-124.064545,31.599136
0.1,113.08424,-27.525122
0.1,-160.52429,-27.343658
0.1,119.004135,-24.468096
0.1,54.397976,61.021847
0.1,47.09671,52.343132
0.1,136.27544,12.285882
0.1,24.08862,62.42888
0.1,-139.38269,-6.8122506
0.1,-107.088936,-60.17318
0.1,29.357344,39.86748
0.1,-162.61214,-17.839249
0.1,-119.06348,52.123825
0.1,-121.07051,-20.457287
0.1,141.46106,-13.585224
0.1,135.6931,-32.216637
0.1,-135.82668,-61.15342
0.1,72.431656,43.44961
0.1,116.57351,-50.09581
0.1,75.2826,20.154224
0.1,57.937763,33.526726
0.1,68.99664,85.245094
0.1,127.501816,-46.910442
0.1,-181.61989,-35.36975
0.1,127.8484,8.846088
0.1,25.00488,41.58654
0.1,-154.58662,-55.49987
0.1,107.12227,-39.267033
0.1,-151.95267,-35.636047
0.1,119.648506,-19.150698
0.1,-87.09687,-133.7996
0.1,50.453236,53.98271
0.1,75.7386,-26.473696
0.1,-150.50984,23.505648
0.1,-169.39482,40.65897
0.1,35.422966,83.576485
0.1,125.12523,-23.277082
0.1,-101.034195,-40.794228
0.1,73.19433,-23.010355
0.1,43.399048,42.632748
0.1,125.12523,-23.277082
0.1,-101.082535,-12.037953
0.1,-94.421265,-58.22966
0.1,128.15253,3.2780766
0.1,-101.03091,-40.798523
0.1,-135.11679,2.4736278
0.1,117.34759,-39.328552
0.1,49.62012,40.8432
0.1,119.06721,-5.4582133
0.1,29.162817,49.352436
0.1,141.21706,-49.116955
0.1,50.361816,56.262375
0.1,72.20971,53.577984
0.1,50.361816,56.262375
0.1,74.29228,-23.969887
0.1,-61.938423,-120.725555
0.1,-95.10549,-68.38326
0.1,114.029274,-53.657944
0.1,-131.44357,-20.673697
0.1,77.87256,-0.22984791
0.1,18.42168,42.133865
0.1,-155.1859,2.5225625
0.1,64.69377,62.852013
0.1,52.109913,51.53624
0.1,44.347775,57.282097
0.1,75.28857,66.81244
0.1,52.109913,51.53624
0.1,93.91544,-40.975758
0.1,93.213745,1.6499857
0.1,-183.34883,4.439341
0.1,86.339096,-41.53339
0.1,-143.91208,61.397144
0.1,-87.70951,-65.577484
0.1,-93.59374,-135.68013
0.1,26.147112,42.981922
0.1,12.827851,68.289536
0.1,119.004135,-24.468096
0.1,129.30438,-6.656696
0.1,45.486057,93.91077
0.1,84.63643,80.302864
0.1,-150.50964,23.50592
0.1,-144.33385,20.116604
0.1,39.002052,14.727719
0.1,-186.33362,-19.935755
0.1,110.96775,13.620178
0.1,37.122826,45.546787
0.1,45.141716,80.744255
0.1,18.88714,49.7088
0.1,20.839762,77.77448
0.1,60.54494,72.24852
0.1,-64.75972,-101.229485
0.1,48.414806,61.99934
0.1,141.21706,-49.116955
0.1,109.33927,-42.714367
0.1,113.389015,-39.194912
0.1,57.90592,40.23629
0.1,-136.01567,-1.5211136
0.1,91.10666,-19.65507
0.1,-129.70232,-58.11849
0.1,113.08424,-27.525122
0.1,56.177185,55.306248
0.1,119.648506,-19.150698
0.1,57.60936,1.8138503
0.1,74.772156,-47.168728
0.1,57.90592,40.23629
0.1,86.92911,-49.527264
0.1,57.90592,40.23629
0.1,144.05081,-18.750156
0.1,46.222767,68.99477
0.1,130.71408,-38.64876
0.1,5.972505,67.66136
0.1,-117.70997,18.056902
0.1,129.94609,-1.4697697
0.1,22.75483,71.13391
0.1,-64.75937,-101.22841
0.1,51.3053,73.22863
0.1,32.698196,49.745167
0.1,-117.71112,18.055187
0.1,126.75484,-50.95847
0.1,-115.52696,76.20483
0.1,-146.30989,72.05941
0.1,14.84309,35.542614
0.1,113.08424,-27.525122
0.1,119.004135,-24.468096
0.1,146.61987,-21.673456
0.1,108.904945,-18.836533
0.1,57.937763,33.526726
0.1,52.003826,66.97721
0.1,139.80257,-25.479656
0.1,-146.0944,-13.546204
0.1,47.09671,52.343132
0.1,123.40828,-9.284924
0.1,48.28467,46.76211
0.1,119.004135,-24.468096
0.1,-179.47337,-27.732132
0.1,101.12812,-10.430667
0.1,46.222767,68.99477
0.1,-158.00932,63.664837
0.1,-132.43582,72.160904
0.1,26.86164,41.38329
0.1,162.24286,-45.55913
0.1,50.361816,56.262375
0.1,161.5728,-43.873466
0.1,-140.10854,18.347939
0.1,14.601887,-118.20221
0.1,48.414806,61.99934
0.1,58.899338,66.07296
0.1,76.51239,-47.063362
0.1,-87.708725,-65.57739
0.1,108.065254,-14.371993
0.1,114.746155,-21.189346
0.1,50.361816,56.262375
0.1,114.746155,-21.189346
0.1,-140.97342,24.930376
0.1,-113.98234,-128.19942
0.1,50.453236,53.98271
0.1,50.361816,56.262375
0.1,50.933018,53.88286
0.1,-70.38907,-93.6655
0.1,128.15253,3.2780766
0.1,-131.44385,-20.674778
0.1,108.2469,-53.64515
0.1,-87.70895,-65.57743
0.1,-187.19858,-27.732637
0.1,33.57906,12.602493
0.1,-71.10564,-136.11447
0.1,-176.2852,22.230202
0.1,-86.20065,-70.950745
0.1,43.212997,5.030813
0.1,39.54822,69.62938
0.1,48.28467,46.76211
0.1,145.71783,-5.3662887
0.1,148.39244,-38.259647
0.1,154.51642,-4.9333267
0.1,125.51173,-16.463984
0.1,-175.89493,39.582
0.1,119.004135,-24.468096
0.1,41.470325,87.00461
0.1,115.786835,-63.58105
0.1,-96.48601,-128.4769
0.1,113.08424,-27.525122
0.1,44.347775,57.282097
0.1,-119.19212,-14.519618
0.1,37.122826,45.546787
0.1,125.51173,-16.463984
0.1,129.57658,-31.43295
0.1,110.23733,-10.094097
0.1,-184.48872,19.040522
0.1,-119.31259,-127.17618
0.1,-140.2566,70.03153
0.1,-112.99938,46.83039
0.1,-172.92924,16.305792
0.1,117.88434,-54.341393
0.1,114.746155,-21.189346
0.1,72.4357,59.773937
0.1,143.79355,-7.982469
0.1,119.004135,-24.468096
0.1,119.648506,-19.150698
0.1,-151.95265,-35.636063
0.1,-177.33713,-4.250834
0.1,-179.0202,15.199677
0.1,-134.89207,35.316544
0.1,16.9826,49.312065
0.1,-184.48787,19.040588
0.1,61.642845,47.011612
0.1,35.111366,50.1236
0.1,-146.30962,72.05975
0.1,154.39102,-14.345522
0.1,-123.69501,-102.77998
0.1,146.37828,-2.4434009
0.1,-130.68839,29.7863
0.1,91.14417,-39.271416
0.1,-115.199875,68.04395
0.1,114.746155,-21.189346
0.1,115.04726,-33.776073
0.1,-115.77161,-23.892267
0.1,6.9453487,40.105427
0.1,42.3702,48.867493
0.1,88.363686,-20.861347
0.1,148.5316,-40.323093
0.1,28.1141,56.284367
0.1,119.648506,-19.150698
0.1,119.648506,-19.150698
0.1,-120.32119,11.381739
0.1,129.30438,-6.656696
0.1,66.0874,72.06082
0.1,132.58847,-58.928574
0.1,35.902687,64.10938
0.1,-170.53696,0.14129381
0.1,-74.617546,-114.276794
0.1,61.642845,47.011612
0.1,154.25691,-48.843834
0.1,82.02101,-19.110138
0.1,-72.88031,-122.10981
0.1,-183.34888,4.439307
0.1,-94.4199,-58.22811
0.1,48.28467,46.76211
0.1,65.52866,4.8749504
0.1,-192.74165,-31.784147
0.1,-112.99908,46.82963
0.1,96.73115,-26.002449
0.1,-184.48857,19.04115
0.1,67.34459,66.00749
0.1,47.09671,52.343132
0.1,42.89825,35.131252
0.1,-110.558174,-67.57233
0.1,58.466976,21.889841
0.1,-87.9573,-81.70672
0.1,-172.1558,23.26014
0.1,54.189014,30.19256
0.1,28.42391,64.460686
0.1,-133.81592,-13.68021
0.1,120.10973,-30.85093
0.1,123.40828,-9.284924
0.1,75.629715,50.26649
0.1,-172.2756,-44.906887
0.1,-113.7502,-15.72867
0.1,-121.2529,-96.91761
0.1,-87.79192,-104.250084
0.1,89.58645,-8.817708
0.1,140.2204,-35.613163
0.1,24.35413,52.83083
0.1,-126.22307,-16.302025
0.1,116.15303,22.51543
0.1,52.812397,22.921658
0.1,-58.912308,-132.58041
0.1,121.80939,-36.426434
0.1,-126.93596,-28.418375
0.1,49.62012,40.8432
0.1,49.17622,77.85231
0.1,116.164246,-9.475961
0.1,119.004135,-24.468096
0.1,136.72232,-25.467987
0.1,48.414806,61.99934
0.1,125.12523,-23.277082
0.1,70.375534,81.8102
0.1,69.962,-31.481333
0.1,89.9581,66.68142
0.1,-173.25414,-61.57721
0.1,78.32536,71.2191
0.1,116.7137,-43.986988
0.1,-72.88045,-122.10963
0.1,32.23688,36.361656
0.1,-179.47293,-27.731695
0.1,60.54494,72.24852
0.1,54.397976,61.021847
0.1,167.75218,-16.564999
0.1,97.46299,73.26531
0.1,104.40307,-29.96373
0.1,16.453245,75.61149
0.1,-134.6155,-32.057224
0.1,-123.16208,75.03081
0.1,14.59454,62.44392
0.1,42.3702,48.867493
0.1,57.289734,78.98447
0.1,32.651913,59.276608
0.1,68.663315,45.455498
0.1,132.64026,1.7968887
0.1,39.54822,69.62938
0.1,125.51173,-16.463984
0.1,-153.05972,-64.98335
0.1,136.66153,-20.136549
0.1,30.645403,24.722412
0.1,-124.06447,31.598656
0.1,64.69377,62.852013
0.1,131.014,-30.335402
0.1,54.189014,30.19256
0.1,-169.39465,40.65913
0.1,64.69377,62.852013
0.1,67.59121,57.289776
0.1,-114.05234,8.637252
0.1,114.4205,6.6370807
0.1,-104.00126,-69.69331
0.1,122.11881,22.972254
0.1,38.184772,58.92615
0.1,43.936962,87.85585
0.1,-172.22397,31.783258
0.1,132.78496,-33.236946
0.1,35.902687,64.10938
0.1,119.54615,-13.192557
0.1,64.69377,62.852013
0.1,119.648506,-19.150698
0.1,141.31961,-18.945345
0.1,114.746155,-21.189346
0.1,114.746155,-21.189346
0.1,-87.096954,-133.79866
0.1,114.8697,-70.34576
0.1,-70.30118,-139.38715
0.1,131.22498,-61.94449
0.1,-126.2227,-16.302122
0.1,39.568558,53.80316
0.1,106.84789,-48.06076
0.1,-164.20657,49.43328
0.1,54.397976,61.021847
0.1,115.04726,-33.776073
0.1,141.46106,-13.585224
0.1,62.166023,54.18276
0.1,-171.61092,47.172413
0.1,133.64925,-23.967463
0.1,-155.37378,-20.729446
0.1,-130.70744,30.873749
0.1,-113.82707,8.774183
0.1,60.54494,72.24852
0.1,46.34622,11.698607
0.1,119.648506,-19.150698
0.1,54.397976,61.021847
0.1,103.258194,-20.65876
0.1,-175.89496,39.582214
0.1,119.004135,-24.468096
0.1,120.10973,-30.85093
0.1,-198.21184,-3.622007
0.1,-176.285,22.230177
0.1,116.164246,-9.475961
0.1,125.01061,-0.2489762
0.1,-125.30354,-43.513958
0.1,124.5435,14.464105
0.1,79.69268,-2.548454
0.1,-133.81593,-13.6802025
0.1,53.91326,86.16886
0.1,57.589012,92.926796
0.1,113.975,-15.037777
0.1,52.109913,51.53624
0.1,123.40828,-9.284924
0.1,-107.60126,6.4729896
0.1,113.08424,-27.525122
0.1,155.79352,-59.56997
0.1,150.13715,-6.384183
0.1,18.617914,56.81308
0.1,127.15738,-39.69905
0.1,-61.938293,-120.72505
0.1,-73.72602,-145.33774
0.1,31.115616,28.609335
0.1,116.164246,-9.475961
0.1,-186.33325,-19.935781
0.1,18.753422,66.865265
0.1,44.347775,57.282097
0.1,144.45004,-21.526432
0.1,30.830135,29.809034
0.1,77.27015,-28.043467
0.1,111.7324,-38.40167
0.1,103.258194,-20.65876
0.1,47.19133,14.908542
0.1,9.975959,56.97599
0.1,55.618732,19.406118
0.1,144.18259,-67.8852
0.1,-132.1421,-68.5593
0.1,-130.15231,-8.259335
0.1,-115.7707,-23.892555
0.1,-146.09435,-13.545813
0.1,122.826324,-64.6976
0.1,-54.77901,-102.579
0.1,17.509247,66.19402
0.1,-153.059,-64.98347
0.1,42.3702,48.867493
0.1,42.3702,48.867493
0.1,52.109913,51.53624
0.1,-59.17836,-100.928795
0.1,-125.62517,-108.21271
0.1,-157.14876,56.56431
0.1,83.28837,-8.190494
0.1,-128.52808,-10.043553
0.1,113.71364,-62.512516
0.1,-134.61546,-32.057327
0.1,122.718864,-45.68887
0.1,124.7291,-40.106728
0.1,51.3053,73.22863
0.1,-158.94958,-61.968185
0.1,-101.0337,-40.78474
0.1,96.857956,-12.687663
0.1,94.122505,51.63277
0.1,103.027405,-14.545042
0.1,83.99978,86.96998
0.1,131.13167,-20.887724
0.1,129.30438,-6.656696
0.1,27.467276,40.839844
0.1,-184.49004,19.041067
0.1,114.4205,6.6370807
0.1,57.929466,87.49564
0.1,-172.2756,-44.906887
0.1,40.83398,14.066619
0.1,-167.64526,-7.083631
0.1,57.937763,33.526726
0.1,103.027405,-14.545042
0.1,-107.08765,-60.173923
0.1,42.07711,93.111824
0.1,-161.03705,43.16149
0.1,125.12523,-23.277082
0.1,-136.0153,-1.5210903
0.1,64.69377,62.852013
0.1,44.347775,57.282097
0.1,-132.4483,-113.98392
0.1,143.45688,-25.104048
0.1,-122.25682,-75.212395
0.1,-62.31142,-127.53143
0.1,-117.87355,29.669039
0.1,81.88495,1.0255724
0.1,-187.27539,-39.57605
0.1,-148.65709,-60.28499
0.1,57.747223,50.516113
0.1,50.361816,56.262375
0.1,44.347775,57.282097
0.1,151.91315,-18.604424
0.1,120.07275,-42.50329
0.1,47.09671,52.343132
0.1,-130.70744,30.873922
0.1,85.37387,69.41916
0.1,57.143562,77.50801
0.1,-106.07951,13.16038
0.1,25.604029,49.386242
0.1,33.666042,54.333042
0.1,120.07275,-42.50329
0.1,-187.1058,-27.677435
0.1,-129.70164,-58.118504
0.1,35.02408,33.852512
0.1,120.07275,-42.50329
